factor_id,name,domain_name,intervenable,definition
V84,Certification Status,Economics-Markets,no,The eco-certification status of fishery products.
V78,Consumer Preferences,Economics-Markets,no,Consumer demand patterns for seafood products.
V79,Distribution Channels,Economics-Markets,no,The pathways through which products move from harvest to consumer.
V22,Domestic Supply,Economics-Markets,no,The amount of seafood available for domestic consumption.
V38,Economic Performance,Economics-Markets,no,"The overall financial health of the fishery, including profitability and efficiency."
V54,Employment,Economics-Markets,no,"The number of people employed in the fishery, measured in full-time equivalents."
V81,Export Markets,Economics-Markets,no,International destinations for fishery products.
V56,Export Value,Economics-Markets,no,The value of fishery products sold to international markets.
V57,Financial Performance,Economics-Markets,no,Various measures of economic success including profit margins and return on investment.
V55,Fleet Capacity,Economics-Markets,no,"The total fishing power of the fleet, including vessel numbers and characteristics."
V50,Gross Value of Production,Economics-Markets,no,"The total market value of fishery products at landing, approximately $86 million in 2019-20."
V21,Import Volume,Economics-Markets,no,The amount of competing seafood products imported into Australia.
V24,Investment Level,Economics-Markets,no,The amount of capital invested in fishing operations and infrastructure.
V77,Market Competition,Economics-Markets,no,The level of competition from imports and alternative products.
V80,Market Concentration,Economics-Markets,no,The degree of market power in the supply chain.
V14,Market Price,Economics-Markets,no,The price received for fishery products at various market levels.
V51,Net Economic Returns,Economics-Markets,no,Profits after accounting for all costs and opportunity costs of capital and labor.
V53,Operating Costs,Economics-Markets,no,"The costs associated with fishing operations including fuel, labor, and maintenance."
V85,Price Volatility,Economics-Markets,no,The degree of price fluctuation over time.
V83,Product Substitutability,Economics-Markets,no,The degree to which species can be substituted for each other.
V8,Profit Level,Economics-Markets,no,The financial returns from fishing operations after accounting for costs.
V31,Quota Trading,Economics-Markets,no,The buying and selling of fishing quotas between operators.
V23,Quota Value,Economics-Markets,no,"The market value of individual transferable quotas, reflecting expected profitability."
V76,Species Price,Economics-Markets,no,The average landed value per unit weight for different species.
V52,Total Factor Productivity,Economics-Markets,no,A measure of efficiency in converting inputs to outputs in the fishery.
V82,Value Addition,Economics-Markets,no,Processing that increases product value.
V40,Bottom Temperature,Environmental-Ecosystem,no,"The temperature at the ocean floor, particularly important for demersal species."
V41,Chlorophyll-a,Environmental-Ecosystem,no,A measure of phytoplankton biomass and primary productivity in the ocean.
V28,Climate Change Impact,Environmental-Ecosystem,no,"The effects of climate change on marine ecosystems, including warming, acidification, and changing current patterns."
V44,Diatom:Dinoflagellate Ratio,Environmental-Ecosystem,no,"The ratio between major phytoplankton groups, indicating food web structure."
V35,Ecosystem Function,Environmental-Ecosystem,no,The processes and services provided by marine ecosystems.
V49,Extreme Weather Events,Environmental-Ecosystem,no,"The frequency and intensity of storms, floods, and marine heatwaves."
V16,Food Web Structure,Environmental-Ecosystem,no,The network of feeding relationships between species.
V33,Habitat Degradation,Environmental-Ecosystem,no,The loss or damage to marine habitats.
V45,Ocean Acidification,Environmental-Ecosystem,no,"The decrease in ocean pH due to CO2 absorption, affecting marine organisms."
V46,Ocean Currents,Environmental-Ecosystem,no,"The direction and strength of major ocean currents, including the East Australian Current."
V11,Ocean Temperature,Environmental-Ecosystem,no,"The temperature of ocean waters, with surface temperatures having increased by 1.2°C since 1950 in the region."
V48,Oxygen Levels,Environmental-Ecosystem,no,"The concentration of dissolved oxygen in seawater, declining with warming."
V17,Predation Rate,Environmental-Ecosystem,no,The rate at which species are consumed by predators.
V30,Primary Productivity,Environmental-Ecosystem,no,The rate of production of organic matter by phytoplankton.
V39,Sea Surface Temperature,Environmental-Ecosystem,no,"The temperature of the ocean surface layer, critical for species distribution and ecosystem productivity."
V43,Southern Annular Mode,Environmental-Ecosystem,no,"An indicator of north-south movement of westerly winds, affecting storm patterns."
V42,Southern Oscillation Index,Environmental-Ecosystem,no,"A measure of El Niño/La Niña development and intensity, affecting ocean conditions."
V47,Upwelling Intensity,Environmental-Ecosystem,no,The strength of nutrient-rich water upwelling events.
V87,Cultural Fishing Practices,Indigenous,no,Traditional methods and protocols for fishing activities.
V93,Cultural Harvest Levels,Indigenous,no,The volume of catch for cultural purposes.
V89,Cultural Values Mapping,Indigenous,no,Documentation of culturally significant marine areas.
V90,Indigenous Economic Participation,Indigenous,no,Indigenous involvement in commercial fishing operations.
V88,Indigenous Governance,Indigenous,no,Indigenous participation in fishery management decisions.
V95,Indigenous Research Partnerships,Indigenous,no,Collaborative research incorporating indigenous perspectives.
V94,Knowledge Transmission,Indigenous,no,The transfer of traditional knowledge between generations.
V92,Sea Country Management,Indigenous,no,Indigenous approaches to marine resource stewardship.
V86,Traditional Ecological Knowledge,Indigenous,no,Indigenous understanding of marine ecosystems and species.
V91,Traditional Seasonal Indicators,Indigenous,no,Indigenous knowledge of environmental cues for fishing.
V4,Catch Limit,Management,yes,"The maximum amount of fish that can be caught, set through TACs."
V26,Compliance Rate,Management,no,The degree to which fishers follow management rules.
V25,Enforcement Level,Management,yes,The intensity of management rule enforcement.
V37,Management Restrictions,Management,yes,Various rules and regulations limiting fishing activities.
V62,Age Structure,Social,no,The age distribution of fishery participants.
V59,Community Economic Dependence,Social,no,The degree to which coastal communities rely on the fishery for economic activity.
V64,Community Perceptions,Social,no,Public attitudes toward the fishery and its operations.
V66,Cultural Heritage Value,Social,no,The significance of fishing traditions to community identity.
V58,Employment in Fishery,Social,no,The number of people directly employed in harvesting operations.
V63,Fisher Wellbeing,Social,no,Measures of physical and mental health among fishing industry participants.
V65,Food Security Contribution,Social,no,The fishery's contribution to regional and national food supply.
V61,Gender Composition,Social,no,The gender breakdown of fishery participants.
V60,Indigenous Participation,Social,no,The level of indigenous involvement in commercial fishing operations.
V36,Social License,Social,no,The level of public acceptance and support for fishing operations.
V6,Growth Rate,Stock,no,"The rate at which individual fish increase in size, affected by food availability, temperature, and other environmental conditions."
V3,Mortality Rate,Stock,no,"The rate at which fish die from natural causes and fishing, including both target and non-target species mortality."
V2,Recruitment Rate,Stock,no,"The rate at which young fish enter the fishable population, influenced by spawning success, larval survival, and environmental conditions."
V32,Spatial Stock Depletion,Stock,no,The localized reduction in fish abundance due to concentrated fishing effort in specific areas.
V34,Species Abundance,Stock,no,"The number or biomass of fish present in a given area, influenced by both natural and human factors."
V12,Species Distribution,Stock,no,"The spatial and temporal distribution of fish populations, increasingly influenced by climate change and ocean warming."
V1,Stock Biomass,FOCAL FACTORS,no,"The total weight or number of fish in a population, measured in tonnes or numbers. Critical for determining sustainable harvest levels and stock status."
V18,Stock Recovery,Stock,no,"The process of rebuilding depleted fish populations to sustainable levels, often measured against biological reference points."
V29,Stock Status,Stock,no,"The current condition of a fish stock relative to reference points (B20, B40, B48), indicating whether it is sustainably fished, overfished, or rebuilding."
V68,Catch Per Unit Effort,Technical,no,"The amount of catch obtained per unit of fishing effort, used as an index of stock abundance."
V7,Catch Volume,Technical,no,"The total amount of fish caught, including both retained and discarded catch, measured in tonnes."
V20,Catchability,Technical,no,"The ease with which fish can be caught, influenced by gear type, fish behavior, and environmental conditions."
V69,Discard Rates,Technical,no,"The proportion of catch returned to sea, varying by sector and target species."
V10,Efficiency,Technical,no,The effectiveness of fishing operations in catching target species while minimizing bycatch and environmental impact.
V72,Electronic Monitoring,Technical,no,The use of cameras and sensors to monitor fishing activities and catch composition.
V15,Fishing Effort,Technical,no,"The amount of fishing activity, measured in days fished, hours trawled, hook-hours, or net-hours."
V67,Fishing Methods,Technical,no,"The types of gear and techniques used, including trawl, Danish seine, longline, and gillnet operations."
V5,Fishing Mortality,Technical,no,"The proportion of fish removed by fishing activities, measured as a rate of removal from the population."
V13,Fishing Patterns,Technical,no,"The spatial and temporal distribution of fishing effort, influenced by regulations, weather, and fish availability."
V9,Fleet Size,Technical,no,"The number of active fishing vessels in the fishery, which has decreased by approximately 60% between 2000-2021."
V70,Gear Selectivity,Technical,no,The ability of fishing gear to target specific species or sizes while minimizing bycatch.
V75,Harvest Strategy,Technical,no,The framework for setting catch limits and management measures based on stock status.
V27,Illegal Catch,Technical,no,"Unauthorized fishing activities, including exceeding quotas and fishing in closed areas."
V74,Observer Coverage,Technical,no,The proportion of fishing trips monitored by independent observers.
V73,Spatial Management,Technical,no,The use of area-based management tools including closures and marine parks.
V19,Technology Adoption,Technical,no,"The uptake of new fishing technologies and methods, including electronic monitoring and gear modifications."
V71,Vessel Capacity,Technical,no,"The fishing power of individual vessels, measured by engine power and gross tonnage."
